Date,Close
5/20/2019,2.416
5/21/2019,2.426
5/22/2019,2.393
5/23/2019,2.296
5/24/2019,2.324
5/26/2019,null
5/28/2019,2.268
5/29/2019,2.236
5/30/2019,2.227
5/31/2019,2.142
6/2/2019,null
6/3/2019,2.081
6/4/2019,2.119
6/5/2019,2.123
6/6/2019,2.124
6/7/2019,2.084
6/9/2019,null
6/10/2019,2.143
6/11/2019,2.14
6/12/2019,2.127
6/13/2019,2.091
6/14/2019,2.093
6/16/2019,null
6/17/2019,2.086
6/18/2019,2.06
6/19/2019,2.029
6/20/2019,2.001
6/21/2019,2.068
6/23/2019,null
6/24/2019,2.021
6/25/2019,1.994
6/26/2019,2.049
6/27/2019,2.005
6/28/2019,2
6/30/2019,null
7/1/2019,2.034
7/2/2019,1.976
7/3/2019,null
7/5/2019,2.048
7/7/2019,null
7/8/2019,2.034
7/9/2019,2.054
7/10/2019,2.061
7/11/2019,2.12
7/12/2019,2.106
7/14/2019,null
7/15/2019,2.092
7/16/2019,2.122
7/17/2019,2.061
7/18/2019,2.038
7/19/2019,2.048
7/21/2019,null
7/22/2019,2.043
7/23/2019,2.074
7/24/2019,2.05
7/25/2019,2.074
7/26/2019,2.081
7/28/2019,null
7/29/2019,2.055
7/30/2019,2.061
7/31/2019,2.021
8/1/2019,1.894
8/2/2019,1.855
8/4/2019,null
8/5/2019,1.735
8/6/2019,1.739
8/7/2019,1.684
8/8/2019,1.716
8/9/2019,1.734
8/11/2019,null
8/12/2019,1.639
8/13/2019,1.68
8/14/2019,1.581
8/15/2019,1.529
8/16/2019,1.539
8/18/2019,null
8/19/2019,1.598
8/20/2019,1.561
8/21/2019,1.577
8/22/2019,1.61
8/23/2019,1.528
8/25/2019,null
8/26/2019,1.545
8/27/2019,1.49
8/28/2019,1.466
8/29/2019,1.516
8/30/2019,1.506
9/1/2019,null
9/3/2019,1.466
9/4/2019,1.459
9/5/2019,1.565
9/6/2019,1.55
9/8/2019,null
9/9/2019,1.622
9/10/2019,1.702
9/11/2019,1.733
9/12/2019,1.791
9/13/2019,1.903
9/15/2019,null
9/16/2019,1.841
9/17/2019,1.812
9/18/2019,1.786
9/19/2019,1.774
9/20/2019,1.755
9/22/2019,null
9/23/2019,1.708
9/24/2019,1.635
9/25/2019,1.732
9/26/2019,1.685
9/27/2019,1.675
9/29/2019,null
9/30/2019,1.675
10/1/2019,1.644
10/2/2019,1.596
10/3/2019,1.536
10/4/2019,1.515
10/6/2019,null
10/7/2019,1.553
10/8/2019,1.537
10/9/2019,1.589
10/10/2019,1.658
10/11/2019,1.752
10/13/2019,null
10/14/2019,1.733
10/15/2019,1.771
10/16/2019,1.748
10/17/2019,1.757
10/18/2019,1.747
10/20/2019,null
10/21/2019,1.792
10/22/2019,1.768
10/23/2019,1.759
10/24/2019,1.766
10/25/2019,1.801
10/27/2019,null
10/28/2019,1.853
10/29/2019,1.835
10/30/2019,1.798
10/31/2019,1.691
11/1/2019,1.728
11/3/2019,null
11/4/2019,1.786
11/5/2019,1.866
11/6/2019,1.814
11/7/2019,1.926
11/8/2019,1.933
11/10/2019,null
11/11/2019,1.943
11/12/2019,1.909
11/13/2019,1.87
11/14/2019,1.815
11/15/2019,1.834
11/17/2019,null
11/18/2019,1.808
11/19/2019,1.786
11/20/2019,1.738
11/21/2019,1.772
11/22/2019,1.774
11/24/2019,null
11/25/2019,1.764
11/26/2019,1.74
11/27/2019,1.767
11/29/2019,null
12/1/2019,null
12/2/2019,1.836
12/3/2019,1.709
12/4/2019,1.781
12/5/2019,1.797
12/6/2019,1.842
12/8/2019,null
12/9/2019,1.829
12/10/2019,1.833
12/11/2019,1.79
12/12/2019,1.897
12/13/2019,1.819
12/15/2019,null
12/16/2019,1.892
12/17/2019,1.889
12/18/2019,1.924
12/19/2019,1.908
12/20/2019,1.917
12/22/2019,null
12/23/2019,1.935
12/24/2019,null
12/26/2019,1.905
12/27/2019,1.874
12/29/2019,null
12/30/2019,1.895
12/31/2019,1.919
1/2/2020,1.882
1/3/2020,1.788
1/5/2020,null
1/6/2020,1.811
1/7/2020,1.827
1/8/2020,1.874
1/9/2020,1.858
1/10/2020,1.825
1/12/2020,null
1/13/2020,1.848
1/14/2020,1.818
1/15/2020,1.788
1/16/2020,1.809
1/17/2020,1.836
1/19/2020,null
1/21/2020,1.769
1/22/2020,1.769
1/23/2020,1.74
1/24/2020,1.681
1/26/2020,null
1/27/2020,1.605
1/28/2020,1.641
1/29/2020,1.594
1/30/2020,1.558
1/31/2020,1.52
2/2/2020,null
2/3/2020,1.52
2/4/2020,1.603
2/5/2020,1.649
2/6/2020,1.644
2/7/2020,1.578
2/9/2020,null
2/10/2020,1.547
2/11/2020,1.59
2/12/2020,1.63
2/13/2020,1.617
2/14/2020,1.588
2/16/2020,null
2/18/2020,1.556
2/19/2020,1.57
2/20/2020,1.525
2/21/2020,1.471
2/23/2020,null
2/24/2020,1.377
2/25/2020,1.33
2/26/2020,1.31
2/27/2020,1.299
2/28/2020,1.127
3/1/2020,null
3/2/2020,1.088
3/3/2020,1.01
3/4/2020,0.992
3/5/2020,0.926
3/6/2020,0.706
3/8/2020,null
3/9/2020,0.499
3/10/2020,0.748
3/11/2020,0.82
3/12/2020,0.849
3/13/2020,0.951
3/15/2020,null
3/16/2020,0.728
3/17/2020,0.997
3/18/2020,1.266
3/19/2020,1.119
3/20/2020,0.938
3/22/2020,null
3/23/2020,0.764
3/24/2020,0.816
3/25/2020,0.858
3/26/2020,0.811
3/27/2020,0.749
3/29/2020,null
3/30/2020,0.67
3/31/2020,0.698
4/1/2020,0.635
4/2/2020,0.627
4/3/2020,0.587
4/5/2020,null
4/6/2020,0.676
4/7/2020,0.736
4/8/2020,0.764
4/9/2020,0.729
4/12/2020,null
4/13/2020,0.749
4/14/2020,0.752
4/15/2020,0.638
4/16/2020,0.609
4/17/2020,0.654
4/19/2020,null
4/20/2020,0.626
4/21/2020,0.571
4/22/2020,0.619
4/23/2020,0.613
4/24/2020,0.596
4/26/2020,null
4/27/2020,0.656
4/28/2020,0.61
4/29/2020,0.627
4/30/2020,0.622
5/1/2020,0.642
5/3/2020,null
5/4/2020,0.637
5/5/2020,0.657
5/6/2020,0.711
5/7/2020,0.631
5/8/2020,0.682
5/10/2020,null
5/11/2020,0.726
5/12/2020,0.678
5/13/2020,0.649
5/14/2020,0.619
5/15/2020,0.64
5/17/2020,null
5/18/2020,0.744
5/19/2020,0.711
5/20/2020,0.68
5/21/2020,0.677
5/22/2020,0.657
5/24/2020,null
5/26/2020,0.698
5/27/2020,0.68
5/28/2020,0.705
5/29/2020,0.648
5/31/2020,null
6/1/2020,0.662
6/2/2020,0.68
6/3/2020,0.761
6/4/2020,0.82
6/5/2020,0.904
6/7/2020,null
6/8/2020,0.884
6/9/2020,0.829
6/10/2020,0.748
6/11/2020,0.653
6/12/2020,0.699
6/14/2020,null
6/15/2020,0.702
6/16/2020,0.756
6/17/2020,0.733
6/18/2020,0.694
6/19/2020,0.697
6/21/2020,null
6/22/2020,0.704
6/23/2020,0.709
6/24/2020,0.684
6/25/2020,0.674
6/26/2020,0.636
6/28/2020,null
6/29/2020,0.636
6/30/2020,0.653
7/1/2020,0.682
7/2/2020,0.669
7/5/2020,null
7/6/2020,0.684
7/7/2020,0.65
7/8/2020,0.653
7/9/2020,0.605
7/10/2020,0.633
7/12/2020,null
7/13/2020,0.64
7/14/2020,0.615
7/15/2020,0.63
7/16/2020,0.612
7/17/2020,0.628
7/19/2020,null
7/20/2020,0.62
7/21/2020,0.607
7/22/2020,0.595
7/23/2020,0.582
7/24/2020,0.589
7/26/2020,null
7/27/2020,0.609
7/28/2020,0.581
7/29/2020,0.579
7/30/2020,0.541
7/31/2020,0.536
8/2/2020,null
8/3/2020,0.563
8/4/2020,0.515
8/5/2020,0.543
8/6/2020,0.536
8/7/2020,0.562
8/9/2020,null
8/10/2020,0.574
8/11/2020,0.658
8/12/2020,0.67
8/13/2020,0.716
8/14/2020,0.709
8/16/2020,null
8/17/2020,0.683
8/18/2020,0.669
8/19/2020,0.675
8/20/2020,0.644
8/21/2020,0.64
8/23/2020,null
8/24/2020,0.646
8/25/2020,0.682
8/26/2020,0.687
8/27/2020,0.746
8/28/2020,0.729
8/30/2020,null
8/31/2020,0.693
9/1/2020,0.672
9/2/2020,0.651
9/3/2020,0.622
9/4/2020,0.721
9/6/2020,null
9/8/2020,0.684
9/9/2020,0.703
9/10/2020,0.685
9/11/2020,0.669
9/13/2020,null
9/14/2020,0.671
9/15/2020,0.679
9/16/2020,0.687
9/17/2020,0.684
9/18/2020,0.694
9/20/2020,null
9/21/2020,0.671
9/22/2020,0.664
9/23/2020,0.676
9/24/2020,0.666
9/25/2020,0.659
9/27/2020,null
9/28/2020,0.663
9/29/2020,0.645
9/30/2020,0.677
10/1/2020,0.677
10/2/2020,0.696
10/4/2020,null
10/5/2020,0.762
10/6/2020,0.742
10/7/2020,0.785
10/8/2020,0.765
10/9/2020,0.775
10/11/2020,null
10/12/2020,0.777
10/13/2020,0.727
10/14/2020,0.722
10/15/2020,0.731
10/16/2020,0.744
10/18/2020,null
10/19/2020,0.761
10/20/2020,0.797
10/21/2020,0.816
10/22/2020,0.848
10/23/2020,0.841
10/25/2020,null
10/26/2020,0.801
10/27/2020,0.778
10/28/2020,0.781
10/29/2020,0.835
10/30/2020,0.86
11/1/2020,null
11/2/2020,0.849
11/3/2020,0.882
11/4/2020,0.768
11/5/2020,0.776
11/6/2020,0.82
11/8/2020,null
11/9/2020,0.958
11/10/2020,0.972
11/11/2020,0.958
11/12/2020,0.885
11/13/2020,0.893
11/15/2020,null
11/16/2020,0.906
11/17/2020,0.872
11/18/2020,0.882
11/19/2020,0.854
11/20/2020,0.829
11/22/2020,null
11/23/2020,0.857
11/24/2020,0.882
11/25/2020,0.878
11/27/2020,null
11/29/2020,null
11/30/2020,0.844
12/1/2020,0.934
12/2/2020,0.948
12/3/2020,0.92
12/4/2020,0.969
12/6/2020,null
12/7/2020,0.928
12/8/2020,0.913
12/9/2020,0.941
12/10/2020,0.908
12/11/2020,0.893
12/13/2020,null
12/14/2020,0.892
12/15/2020,0.923
12/16/2020,0.92
12/17/2020,0.93
12/18/2020,0.948
12/20/2020,null
12/21/2020,0.941
12/22/2020,0.918
12/23/2020,0.955
12/24/2020,null
12/27/2020,null
12/28/2020,0.933
12/29/2020,0.935
12/30/2020,0.926
12/31/2020,0.917
1/3/2021,null
1/4/2021,0.917
1/5/2021,0.955
